"vp_versioning_id","date_trunc","odim_code","year_season","year","season","day_night","slope_max","slope_max_time","mtr","prop","mtr_cum","prop_cum","top","mtrs","props","mtrs_cum","props_cum","tops","n_vp"
28,2017-08-23,"nldhl","2017_autumn",2017,"autumn","daylight",31.8516436099889,2017-08-23 05:15:04,18355.3278679416,0.0301808114014172,18355.3278679416,0.0301808114014172,1,106.717022488033,0.0237762294389589,375.445292097398,0.0836480741175637,3,172
28,2017-10-27,"nldhl","2017_autumn",2017,"autumn","daylight",247.13556927414,2017-10-27 07:30:04,17622.2562876946,0.0289754559173663,35977.5841556362,0.0591562673187835,2,150.617575108501,0.0335571396186669,150.617575108501,0.0335571396186669,1,117
28,2017-10-15,"nldhl","2017_autumn",2017,"autumn","daylight",119.500395004983,2017-10-15 07:20:04,15118.1688961107,0.0248581015534568,51095.7530517469,0.0840143688722403,3,118.110694500865,0.0263147050599379,268.728269609366,0.0598718446786048,2,128
28,2017-10-08,"nldhl","2017_autumn",2017,"autumn","daylight",45.7945314515957,2017-10-08 06:55:04,13120.752628037,0.0215738429387064,64216.5056797839,0.105588211810947,4,97.9160643883356,0.0218154026263055,573.546185259565,0.127784353204759,5,134
28,2017-10-19,"nldhl","2017_autumn",2017,"autumn","daylight",38.7042885636694,2017-10-19 07:10:04,12422.918767955,0.0204264271980461,76639.4244477389,0.126014639008993,5,100.184828773831,0.0223208764608901,475.630120871229,0.105968950578454,4,124
28,2017-08-16,"nldhl","2017_autumn",2017,"autumn","daylight",25.5642160688194,2017-08-16 04:50:04,11841.5508545747,0.0194705109935085,88480.9753023136,0.145485150002501,6,66.9014172574844,0.0149054331672705,1250.97383309574,0.278713181687144,14,177
28,2017-10-03,"nldhl","2017_autumn",2017,"autumn","daylight",29.2534260546585,2017-10-03 06:30:04,11372.6201431155,0.0186994700475388,99853.5954454292,0.16418462005004,7,82.4102908921416,0.0183607632475187,742.795310707519,0.165492545817095,7,138
28,2017-08-29,"nldhl","2017_autumn",2017,"autumn","daylight",25.3706414425757,2017-08-29 06:05:04,11274.4014948133,0.0185379736949899,111127.996940243,0.18272259374503,8,67.5113861964871,0.0150413323997101,1184.07241583825,0.263807748519874,13,167
28,2017-10-18,"nldhl","2017_autumn",2017,"autumn","daylight",23.8891713814074,2017-10-18 07:05:04,10854.8543194766,0.017848131799278,121982.851259719,0.200570725544308,9,86.838834555813,0.019347429364817,660.385019815378,0.147131782569576,6,125
28,2017-10-16,"nldhl","2017_autumn",2017,"autumn","daylight",42.4448797213747,2017-10-16 07:45:04,10443.4195329533,0.0171716287269613,132426.270792672,0.217742354271269,10,82.2316498657739,0.018320962567823,825.026960573293,0.183813508384918,8,127
28,2017-10-04,"nldhl","2017_autumn",2017,"autumn","daylight",7.89224911358153,2017-10-04 06:30:04,9911.91781450965,0.0162977051861079,142338.188607182,0.234040059457377,11,72.3497650694135,0.0161193085605256,978.099749207556,0.217917662141997,10,137
28,2017-08-22,"nldhl","2017_autumn",2017,"autumn","daylight",34.1384607977566,2017-08-22 04:50:04,9883.33922055399,0.0162507147340441,152221.527827736,0.250290774191421,12,57.4612745381046,0.0128021979569959,1673.74319735291,0.372904915770322,21,172
28,2017-08-20,"nldhl","2017_autumn",2017,"autumn","daylight",21.8831518793288,2017-08-20 04:55:04,9790.69256598846,0.0160983801514896,162012.220393725,0.266389154342911,13,56.2683480803935,0.0125364175547595,1730.01154543331,0.385441333325082,22,174
28,2017-10-30,"nldhl","2017_autumn",2017,"autumn","daylight",228.007738210958,2017-10-30 06:35:04,9363.87073352259,0.0153965768756048,171376.091127247,0.281785731218516,14,80.7230235648499,0.0179848451965532,905.749984138143,0.201798353581471,9,116
28,2017-09-24,"nldhl","2017_autumn",2017,"autumn","daylight",13.7862984169607,2017-09-24 05:55:04,9047.92754473216,0.0148770861934961,180424.018671979,0.296662817412012,15,62.8328301717511,0.0139989642854796,1377.04157537018,0.306800692894691,16,144
28,2017-09-26,"nldhl","2017_autumn",2017,"autumn","daylight",15.2686362092677,2017-09-26 06:30:04,8817.66409908312,0.0144984747257101,189241.682771062,0.311161292137722,16,61.661986706875,0.0137381039071728,1438.70356207706,0.320538796801864,17,143
28,2017-10-02,"nldhl","2017_autumn",2017,"autumn","daylight",18.4657340856245,2017-10-02 06:50:04,8789.65278227388,0.0144524170210585,198031.335553336,0.32561370915878,17,63.2349121026897,0.0140885469220672,1314.20874519843,0.292801728609211,15,139
28,2017-09-21,"nldhl","2017_autumn",2017,"autumn","daylight",13.7439461485345,2017-09-21 06:45:04,8742.21114692825,0.0143744109478768,206773.546700265,0.339988120106657,18,59.0689942360017,0.0131603930370266,1557.67038351502,0.347044244350778,19,148
28,2017-08-24,"nldhl","2017_autumn",2017,"autumn","daylight",9.05584703701343,2017-08-24 05:35:04,8655.25155457726,0.0142314273370597,215428.798254842,0.354219547443717,19,50.9132444386897,0.0113433166802591,2097.75797557927,0.467374124314346,29,170
28,2017-09-04,"nldhl","2017_autumn",2017,"autumn","daylight",24.5971166206513,2017-09-04 05:35:04,8604.42727120784,0.0141478593331526,224033.22552605,0.36836740677687,20,53.1137485877027,0.011833582340868,1892.15615634978,0.421566661614419,25,162
28,2017-09-27,"nldhl","2017_autumn",2017,"autumn","daylight",26.8316857335684,2017-09-27 06:55:04,8565.38928988144,0.0140836709971893,232598.614815931,0.382451077774059,21,59.8978272019681,0.0133450545118874,1498.60138927902,0.333883851313751,18,143
